127.0.0.1 - - [16/Sep/2019:15:10:30 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:10:31 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:12:52 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:13:08 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:13:47 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:14:00 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:14:48 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:14:50 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:15:35 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:16:28 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:16:38 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:16:39 +0200] "GET /favicon.ico HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:16:48 +0200] "GET /lab16/login?username=&password= HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:16:53 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:17:31 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:17:41 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:18:00 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:18:30 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:18:43 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:18:57 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:17 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:19 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:27 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:38 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:40 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:46 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:47 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:19:48 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:20:37 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:20:59 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:21:00 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:21:12 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:21:56 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:22:14 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:22:28 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:22:40 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:23:51 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:24:14 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:05 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:07 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:28 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:29 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:41 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:41 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:26:42 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:27:07 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:27:08 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:28:02 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:28:12 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:28:47 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 838
